treatment,lobster,proximal_ei,distal_ei,run,molt_status
A,A01,0.013417044,0.002101276,1,0
A,A02,0.019343441,0.00384223,1,1
A,A03,0.016744781,0.004512882,1,0
A,A04,0.051148556,0.00705297,1,0
A,A05,0.011962824,0.002161545,1,0
A,A07,0.005713186,0.000842279,1,1
A,A08,0.021582897,0.004446383,1,0
A,A09,0.026329856,0.003305604,1,0
A,A11,0.014522939,0.002945289,1,1
A,A12,0.011289504,0.002087408,1,0
A,A13,0.018077797,0.002674787,1,0
A,A14,0.032364326,0.007806985,1,0
A,A15,0.024753293,0.005511381,1,0
A,A16,0.02737885,0.004224505,1,1
B,B01,0.018877472,0.00240688,1,0
B,B02,0.010130191,0.001840477,1,0
B,B03,0.021947406,0.008126205,1,0
B,B04,0.01404252,0.001327502,1,0
B,B05,0.022556995,0.005121378,1,0
B,B06,0.01793425,0.003633474,1,0
B,B07,0.016730387,0.002531131,1,0
B,B08,0.015307095,0.003307358,1,0
B,B09,0.018752149,0.003476618,1,0
B,B10,0.020503568,0.002510947,1,0
B,B11,0.024229224,0.004428336,1,0
B,B13,0.011338143,0.001418923,1,0
B,B13,0.010492517,0.001873304,2,0
B,B14,0.019499481,0.002477113,1,0
B,B15,0.010560585,0.00128777,1,1
B,B16,0.014425595,0.001121338,1,0
C,C01,0.01731513,0.001664298,1,1
C,C02,0.020761273,0.002700601,1,0
C,C03,0.028055006,0.002734444,1,0
C,C04,0.023277311,0.002656532,1,0
C,C05,0.020609224,0.004397972,1,0
C,C08,0.016278686,0.003603027,1,0
C,C09,0.01892378,0.005259737,1,0
C,C10,0.023624937,0.004620479,1,0
C,C11,0.02122834,0.001038465,1,0
C,C12,0.01148653,0.002219142,1,0
C,C13,0.021082153,0.004251761,1,0
C,C14,0.018448175,0.002378144,1,1
C,C14,0.016389827,0.003170385,2,1
C,C15,0.025788144,0.006170104,1,1
C,C16,0.013123049,0.001681376,1,0
D,D01,0.021231797,0.00258516,1,0
D,D02,0.016549826,0.004108182,1,0
D,D03,0.032219321,0.003467867,1,0
D,D04,0.029185402,0.003926243,1,0
D,D05,0.029243778,0.003518628,1,0
D,D06,0.015278199,0.00250986,1,0
D,D07,0.045484051,0.008255495,1,0
D,D08,0.030973584,0.006914667,1,0
D,D09,0.019591065,0.003175943,1,0
D,D10,0.013378111,0.002890467,1,0
D,D11,0.03280122,0.004476086,1,0
D,D12,0.011664242,0.001982083,1,0
D,D13,0.020747917,0.004660942,1,0
D,D14,0.035437391,0.00415634,1,0
D,D15,0.020320846,0.005073959,1,1
D,D16,0.032086867,0.003443777,1,0
D,D16,0.035314448,0.004357875,2,0
